,com_1,com_2,com_3,com_4,com_5,hole_1,hole_2
0,18,23,39,8,18,43,27
1,17,28,27,48,22,23,39
2,13,43,15,49,12,29,32
3,41,31,20,19,8,5,44
4,31,21,24,32,10,35,14
5,13,19,34,46,36,19,52
6,3,47,31,51,28,28,34
7,45,18,7,50,41,46,19
8,25,35,46,45,12,2,16
9,25,15,7,7,48,12,14
10,2,34,32,8,32,7,21
11,8,46,21,36,2,15,12
12,6,33,46,4,11,10,15
13,3,17,28,44,20,22,18
14,47,17,35,8,11,42,22
15,30,15,7,44,40,24,16
16,14,50,49,14,25,32,40
17,44,7,12,22,9,41,43
18,47,3,33,10,37,41,45
19,13,41,31,5,31,1,3
20,42,6,29,27,16,48,36
21,6,30,49,37,37,49,44
22,38,45,22,25,13,25,4
23,38,48,19,46,27,39,3
24,6,19,9,36,16,32,19
25,1,30,43,6,1,49,43
26,25,30,6,44,16,15,51
27,20,24,8,3,28,16,43
28,39,46,30,18,45,38,10
29,14,43,10,28,12,15,33
30,36,31,14,8,41,20,44
31,21,26,41,47,13,9,47
32,20,35,21,40,11,8,27
33,14,26,29,29,26,48,38
34,45,21,30,1,29,37,7
35,15,20,10,42,20,6,1
36,4,4,16,16,31,52,42
37,2,2,33,38,16,18,15
38,52,32,28,21,25,25,22
39,13,7,12,26,37,27,20
40,6,36,9,51,45,24,23
41,5,46,37,39,4,47,45
42,42,7,3,47,6,22,10
43,34,52,46,22,9,34,28
44,28,1,26,49,11,33,38
45,49,17,10,24,43,12,6
46,24,14,2,49,8,28,35
47,46,3,14,43,19,23,19
48,18,14,42,10,28,34,28
49,26,13,32,36,35,9,37
50,11,9,14,40,19,34,30
51,1,23,24,21,26,47,17
52,51,19,19,40,50,36,28
53,51,26,12,19,12,9,45
54,43,6,32,9,46,11,49
55,32,12,23,21,39,48,44
56,41,45,17,21,25,49,22
57,49,14,44,8,26,38,32
58,31,39,48,43,36,5,26
59,52,29,31,2,28,15,41
60,27,46,1,45,20,10,4
61,19,35,34,25,18,29,6
62,50,25,48,37,16,30,50
63,27,27,14,10,6,31,5
64,39,45,36,46,35,18,44
65,6,40,51,8,22,37,13
66,47,6,4,32,8,17,52
67,4,13,5,52,49,13,45
68,22,46,12,37,15,11,27
69,2,17,16,41,35,21,9
70,50,21,35,16,1,3,7
71,23,13,35,46,47,46,48
72,34,12,7,48,42,29,40
73,22,41,44,36,12,19,28
74,38,49,49,32,38,3,20
75,40,42,7,52,28,26,41
76,18,18,35,28,37,4,42
77,36,24,3,18,3,19,31
78,22,42,15,47,26,8,8
79,28,3,11,34,34,29,17
80,35,21,47,35,41,12,48
81,37,5,32,33,44,35,36
82,40,11,13,32,40,51,41
83,52,17,4,34,26,22,8
84,45,40,10,52,37,50,5
85,19,35,50,8,37,36,34
86,44,20,47,28,24,15,12
87,4,17,42,34,52,33,24
88,32,4,43,46,33,36,22
89,45,45,43,33,32,41,18
90,23,5,21,24,7,33,40
91,37,21,12,5,3,43,26
92,47,33,14,18,29,1,1
93,39,37,6,22,11,11,1
94,9,36,21,40,24,2,13
95,31,13,30,12,33,8,39
96,16,2,46,26,7,4,15
97,23,37,45,25,16,42,6
98,1,17,27,20,20,29,13
99,37,11,25,36,51,16,5
100,17,6,2,10,34,46,40
101,17,12,46,7,47,26,52
102,38,20,13,20,7,16,11
103,5,19,27,4,32,50,16
104,52,2,48,31,20,27,30
105,3,1,13,3,16,11,6
106,16,46,25,31,26,37,42
107,10,26,22,37,8,12,11
108,16,50,13,7,39,25,8
109,22,23,18,25,15,36,5
110,24,41,51,13,37,23,37
111,10,22,26,1,19,28,51
112,23,1,31,29,37,16,50
113,46,34,10,29,39,32,40
114,30,23,24,11,27,28,28
115,48,24,52,38,47,3,37
116,7,25,10,44,52,28,32
117,36,35,38,37,20,8,47
118,29,46,4,22,42,9,40
119,20,20,38,19,37,23,44
120,31,46,14,26,49,24,9
121,40,17,26,7,27,38,23
122,14,4,36,12,3,9,20
123,4,9,20,33,47,38,35
124,17,50,33,51,43,52,33
125,14,48,35,12,43,42,52
126,24,28,18,12,3,39,11
127,45,28,3,47,24,4,30
128,40,3,22,25,17,3,15
129,45,35,13,36,21,44,25
130,16,22,31,33,37,13,38
131,3,51,42,7,2,36,23
132,30,31,5,33,45,1,7
133,27,24,35,8,39,29,16
134,52,31,16,2,20,7,52
135,41,3,5,20,52,34,1
136,48,21,35,21,49,12,42
137,24,12,50,50,17,20,4
138,8,25,31,49,1,38,17
139,8,27,19,43,19,22,36
140,24,36,6,5,8,34,6
141,29,32,38,26,26,42,14
142,18,12,24,20,26,42,12
143,30,6,49,30,2,34,12
144,26,11,21,41,33,10,2
145,38,13,31,20,37,44,30
146,22,32,4,14,22,2,32
147,5,21,52,19,51,15,18
148,18,41,46,12,49,15,36
149,8,8,29,22,31,19,45
150,10,22,49,37,14,47,40
151,46,11,15,19,41,12,1
152,12,6,45,14,45,46,32
153,31,7,5,8,26,33,5
154,7,44,9,6,25,3,1
155,18,2,28,10,10,25,25
156,51,52,22,37,49,8,15
157,49,1,35,48,37,23,11
158,45,44,9,52,44,16,13
159,10,49,35,22,11,24,14
160,15,29,31,48,20,39,32
161,5,49,5,45,35,36,27
162,13,47,15,35,49,31,38
163,29,27,19,1,14,27,41
164,22,51,13,38,26,17,29
165,35,3,46,3,48,10,14
